player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Atsu, Christian",18,6,0,3,1,5,2,0
"Davies, Ben",7,5,0,0,0,1,1,0
"Soares, Cedric",16,16,0,1,1,6,1,0
"Matic, Nemanja",9,8,0,0,1,2,1,0
"Kabasele, Christian",16,15,0,1,0,3,1,1
"Janmaat, Daryl",8,7,0,1,0,3,1,0
"Zimmermann, Christoph",15,15,0,1,2,4,2,0
Fernandinho,21,20,0,0,3,10,5,0
"Amadou, Ibrahim",11,8,0,0,0,2,1,0
"Chalobah, Nathaniel",14,9,0,1,1,6,1,0
"Sakho, Mamadou",8,6,0,0,0,0,0,1
"Gilmour, Billy",2,0,0,0,0,0,0,0
"Osborn, Ben",5,0,0,0,0,0,0,0
"Lansbury, Henri",9,2,0,0,1,2,0,0
"Delph, Fabian",15,12,0,0,1,4,3,0
"Vinagre, Ruben",10,3,0,0,0,2,1,0
"Vallejo, Jesus",2,1,0,0,0,0,1,0
"Aurier, Serge",21,21,0,4,4,10,1,0
Fred,22,19,0,0,8,34,5,0
"Chong, Tahith",2,0,0,0,0,0,0,0
"Camarasa, Victor",1,0,0,0,0,0,0,0
"Bong, Gaetan",4,0,0,0,0,0,0,0
"Tuanzebe, Axel",5,2,0,0,0,0,0,0
"Stacey, Jack",9,9,0,1,1,4,2,0
"Nakamba, Marvelous",19,16,0,0,2,11,4,0
"Zabaleta, Pablo",10,6,0,0,0,2,2,0
"Gazzaniga, Paulo",17,16,0,0,0,0,1,0
"Wanyama, Victor",2,0,0,0,0,0,1,0
"Mendy, Benjamin",12,12,0,1,1,5,2,0
"Mariappa, Adrian",15,13,0,0,0,0,2,0
"Foulquier, Dimitri",3,1,0,0,0,0,0,0
Angelino,6,4,0,0,0,4,1,0
"Garcia, Eric",6,2,0,0,0,0,0,0
"Roberts, Patrick",3,0,0,0,0,0,0,0
"Alzate, Steven",18,12,0,0,2,10,1,0
"Bissouma, Yves",10,5,0,0,3,7,1,0
"Carroll, Andy",13,4,0,3,2,7,1,0
"Gomes, Angel",2,0,0,0,0,0,0,0
"Saka, Bukayo",16,11,0,3,2,7,4,0
"Clarke, Leon",1,0,0,0,0,1,0,0
"Fahrmann, Ralf",1,1,0,0,0,0,0,0
"McGovern, Michael",2,1,0,0,0,0,0,0
Roberto,8,7,0,0,1,1,0,0
"Danjuma, Arnaut",9,4,0,0,4,7,0,0
"Dier, Eric",12,8,0,2,3,4,4,0
"Francis, Simon",14,9,0,0,0,2,2,0
"Lovren, Dejan",8,8,0,1,1,4,1,0
"Prodl, Sebastian",1,1,0,0,0,1,0,0
"Taylor, Charlie",14,12,0,0,0,2,2,0
"Sidibe, Djibril",18,15,0,4,2,6,2,0
"Konsa, Ezri",14,13,0,2,1,4,0,0
"Dalot, Diogo",4,1,0,0,0,1,0,0
"Rojo, Marcos",3,1,0,0,0,1,1,0
"Ajeti, Albian",8,0,0,0,1,2,0,0
"Gayle, Dwight",9,2,0,1,0,2,0,0
"James, Reece",14,9,0,2,2,10,1,0
"Hennessey, Wayne",2,2,0,0,0,0,0,0
"Schelotto, Ezequiel Matias",6,2,0,0,0,2,1,0
"Besic, Muhamed",9,2,0,0,2,4,2,0
"Tierney, Kieran",5,4,0,0,0,2,1,0
"Garner, James",1,0,0,0,0,0,0,0
"McCarthy, Alex",16,16,0,0,0,0,0,0
"Foyth, Juan",4,1,0,0,0,0,1,0
"Sessegnon, Ryan",6,4,0,0,0,2,0,0
"Bardsley, Phil",11,11,0,0,1,3,2,0
"Holding, Rob",2,1,0,0,0,0,0,0
"Steer, Jed",1,1,0,0,0,0,0,0
"Nyland, Orjan",3,1,0,0,0,0,0,0
"Bravo, Claudio",4,3,0,0,0,0,0,0
"Moore, Simon",1,1,0,0,0,0,0,0
"Jones, Phil",2,2,0,0,1,1,0,0
"Martin, David",5,4,0,0,0,0,1,0
"Mustafi, Shkodran",7,5,0,0,2,4,0,0
"Kilman, Max",3,2,0,0,0,0,0,0
"Drinkwater, Danny",5,5,0,0,0,1,0,0
"Holland, Nathan",2,0,0,0,1,1,0,0
"Justin, James Michael",3,1,0,1,0,1,0,0
"Baines, Leighton",3,1,0,0,0,1,0,0
"Simpson, Jack",3,1,0,0,0,0,0,0
"Riedewald, Jairo",8,6,0,0,0,2,0,0
"Jones, Curtis",2,0,0,0,0,0,0,0
"Parrott, Troy",1,0,0,0,0,0,0,0
"Hause, Kortney",10,10,0,0,0,5,2,0
"Niasse, Oumar",3,0,0,0,0,0,0,0
"Smith-Rowe, Emile",2,1,0,0,0,0,0,0
"Long, Kevin",1,0,0,0,0,0,0,0
"Stanislas, Junior",3,1,0,0,1,1,0,0
"Lamptey, Tariq",1,0,0,0,0,0,0,0
"Pierrick, Brandon",1,0,0,0,0,0,0,0
"Idah, Adam",2,1,0,0,0,0,0,0
"Elliott, Harvey",1,0,0,0,0,0,0,0
"Tanganga, Japhet",3,3,0,0,1,1,1,0
"Travers, Mark",1,1,0,0,0,0,0,0
"Surridge, Sam",1,0,0,0,0,0,0,0
"Fernandes, Gedson",3,0,0,0,0,1,0,0
"Pussetto, Ignacio",4,0,0,0,0,0,0,0
"Duda, Ondrej",4,4,0,0,2,2,0,0
"Randolph, Darren",2,2,0,0,0,0,0,0
"Reina, Pepe",4,4,0,0,0,0,0,0
"Gordon, Anthony",1,0,0,0,0,1,0,0
"Vassilev, Indiana",2,0,0,0,0,1,0,0
"Nketiah, Eddie",3,1,0,0,1,3,0,0
"Rupp, Lukas",4,3,0,0,0,2,0,0
"Minamino, Takumi",2,0,0,0,0,2,0,0
"Ngakia, Jeremy",1,1,0,0,0,0,0,0
"Caballero, Willy",2,2,0,0,0,0,0,0
"Berge, Sander",2,2,0,0,0,1,0,0
"Soucek, Tomas",2,2,0,0,1,1,0,0
"Bentaleb, Nabil",2,2,0,0,0,0,1,0
"Lazaro, Valentino",2,1,0,0,0,0,0,0
"Fernandes, Bruno",2,2,0,1,3,7,1,0
"Podence, Daniel",2,0,0,0,0,1,0,0
"Baston, Borja",1,0,0,0,0,0,0,0
"Bailly, Eric",1,1,0,0,0,0,0,0
"Ighalo, Odion",1,0,0,0,1,1,0,0
"Bowen, Jarrod",1,0,0,0,0,0,0,0
